"Ссылка на 
аккаунт 
Tik-Tok","Название 
аккаунта","Кол-во
подписчиков
Tik-Tok",Средние просмотры,Изменение просмотры,Средние Лайки,Изменеие лайки,ПЭА,Дата обновления,Цена ТТ,Способ связи,,,,,Расчетная цена
https://www.tiktok.com/@_ayfffff_,_ayfffff_,2 000 000,0,0,0,0,"0,00",22.12.2020 20:24:51,,https://www.instagram.com/lakinsk1/,,,,,
https://www.tiktok.com/@varyaantipova1,varyaantipova1,85 400,0,-32701,0,-7577,"0,00",22.12.2020 15:00:17,,https://www.instagram.com/lakinsk1/,,,,,
https://www.tiktok.com/@parchevska_ya,parchevska_ya,165 800,0,-37112,0,-5811,"0,00",22.12.2020 15:01:31,,https://www.instagram.com/parchevskaya.ya/,,,,,
https://www.tiktok.com/@anisimovan_,anisimovan_,896 600,0,-58734,0,-9438,"0,00",22.12.2020 15:02:47,,https://www.instagram.com/nastyaanisimova_/,,,,,
https://www.tiktok.com/@mullin.kirill,mullin.kirill,58 300,0,-30766,0,-6234,"0,00",22.12.2020 15:04:00,,https://www.instagram.com/mullin.kirill/,,,,,
https://www.tiktok.com/@nevaaadaa,nevaaadaa,514 000,0,0,0,0,"0,00",22.12.2020 20:49:15,,https://www.instagram.com/nevaaadaa/,,,,,
https://www.tiktok.com/@beembi,beembi,802 600,0,0,0,0,"0,00",22.12.2020 20:56:15,,https://www.instagram.com/ulove.home/,,,,,
https://www.tiktok.com/@liriikkaa,liriikkaa,563 100,0,0,0,0,"0,00",22.12.2020 20:57:26,,https://www.instagram.com/liriikkaa/,,,,,
https://www.tiktok.com/@vasilyevvvvv,vasilyevvvvv,1400000,0,0,0,0,"0,00",22.12.2020 21:00:17,,https://www.instagram.com/vasilyevvvvv/,,,,,
https://www.tiktok.com/@za.maa,za.maa,235400,0,0,0,0,"0,00",22.12.2020 21:28:16,,https://www.instagram.com/zaichya_mama/,,,,,
https://www.tiktok.com/@holyyyymollyyyy,holyyyymollyyyy,238600,0,0,0,0,"0,00",22.12.2020 21:29:28,,https://www.instagram.com/_.holy.molly._/,,,,,
https://www.tiktok.com/@estevaaass,estevaaass,1000000,0,0,0,0,"0,00",22.12.2020 20:58:38,,,,,,,
